Dive Number,GF Minimum,GF Maximum,Surface Interval (min),Imperial Units,Start Battery Voltage,Start CNS %,Start Date,Start External O2 Sensor Status,Start Low Set Point,Start High Set Point,Computer Firmware Version,Max Depth,Max Time,Error History,End Battery Voltage,End CNS,End Date,End External O2 Sensor Status,End Low Set Point,End High Set Point,Computer Serial Number,Computer Firmware Version,Computer Model,Log Version,Deco Model,VPM-B Conservatism,Start Surface Pressure,End Surface Pressure,Product
607,60,80,15693,False,3.5,0,31/05/2025 11:41:04,False,0,1,93,74.2,9414,,3.4,102,31/05/2025 14:17:53,False,0,1,3818148C,93,2,14,GF,60/80,1022,1022,Perdix AI
Time (sec),Depth,First Stop Depth,Time To Surface (min),Average PPO2,Fraction O2,Fraction He,First Stop Time,Current NDL,Current Circuit Mode,Current CCR Mode,Water Temp,Gas Switch Needed,External PPO2,Set Point Type,Circuit Switch Type,External O2 Sensor 1 (mV),External O2 Sensor 2 (mV),External O2 Sensor 3 (mV),Battery Voltage,Tank 1 pressure (PSI),Tank 2 pressure (PSI),Tank 3 pressure (PSI),Tank 4 pressure (PSI),Gas Time Remaining,SAC Rate (2 minute avg),Ascent Rate,Safe Ascent Depth,CO2mbar
168,46.1,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
170,46.1,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
172,46.2,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
174,46.3,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
176,46.4,0,5,1.3,0.1,0.57,0,3,0,0,15,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
178,46.7,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
180,47,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
182,47.3,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
184,47.7,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
186,48.1,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
188,48.5,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
190,48.9,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
192,49.2,0,5,1.3,0.1,0.57,0,3,0,0,14,False,True,1,0,0,0,200,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
194,49.6,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
196,50.1,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
198,50.6,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
200,51.4,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
202,52,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,200,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
204,52.8,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
206,53.4,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
208,54,0,5,1.3,0.1,0.57,0,2,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
210,54.6,0,6,1.3,0.1,0.57,0,1,0,0,14,False,True,1,0,0,0,199,3.47,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
212,55.2,0,6,1.3,0.1,0.57,0,1,0,0,14,False,True,1,0,0,0,200,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
214,55.9,0,6,1.3,0.1,0.57,0,1,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
216,56.5,0,6,1.3,0.1,0.57,0,1,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
218,57,0,6,1.3,0.1,0.57,0,1,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
220,57.7,0,6,1.3,0.1,0.57,0,0,0,0,14,False,True,1,0,0,0,200,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
222,58.4,0,6,1.3,0.1,0.57,0,0,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
224,59.1,0,6,1.3,0.1,0.57,0,0,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
226,59.7,0,6,1.3,0.1,0.57,0,0,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
228,60.3,0,6,1.3,0.1,0.57,0,0,0,0,14,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
230,60.9,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
232,61.5,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
234,62.1,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
236,62.7,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
238,63.3,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
240,64,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
242,64.7,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
244,65.2,0,7,1.3,0.1,0.57,0,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
246,65.9,3,8,1.3,0.1,0.57,1,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
248,66.5,3,8,1.3,0.1,0.57,1,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
250,67.1,3,8,1.3,0.1,0.57,1,0,0,0,13,False,True,1,0,0,0,200,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
252,67.7,3,8,1.3,0.1,0.57,1,0,0,0,13,False,True,1,0,0,0,199,3.45,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
254,68.2,3,8,1.3,0.1,0.57,1,0,0,0,13,False,True,1,0,0,0,199,3.45,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
256,68.7,6,9,1.3,0.1,0.57,1,0,0,0,13,False,True,1,0,0,0,199,3.45,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
258,69.4,6,9,1.3,0.1,0.57,1,0,0,0,13,False,True,1,0,0,0,199,3.46,AI is off,AI is off,N/A,N/A,Not paired,AI is off,0,0,0
